Index,Similar Digits to Pi,,Similar Digits to Pi,Index
1252,959,,,
1253,959,,,
1254,960,,,
1255,961,,,
1256,962,,,
1257,962,,,
1258,964,,,
1259,964,,,
1260,965,,,
1261,966,,,
1262,966,,,
1263,967,,,
1264,968,,,
1265,969,,,
1266,969,,,
1267,970,,,
1268,971,,,
1269,972,,,
1270,973,,,
1271,972,,,
1272,974,,,
1273,972,,,
1274,975,,,
1275,976,,,
1276,977,,,
1277,978,,,
1278,978,,,
1279,980,,,
1280,980,,,
1281,981,,,
1282,982,,,
1283,982,,,
1284,983,,,
1285,983,,,
1286,985,,,
1287,986,,,
1288,985,,,
1289,987,,,
1290,987,,,
1291,988,,,
1292,989,,,
1293,990,,,
1294,991,,,
1295,991,,,
1296,992,,,
1297,993,,,
1298,994,,,
1299,994,,,
1300,996,,,
1301,995,,,
1302,997,,,
1303,998,,,
1304,997,,,
1305,1000,,,
1306,999,,,
1307,1001,,,
1308,1001,,,
1309,1002,,,
1310,1003,,,
1311,1004,,,
1312,1005,,,
1313,1005,,,
1314,1006,,,
1315,1007,,,
1316,1007,,,
1317,1008,,,
1318,1010,,,
1319,1009,,,
1320,1011,,,
1321,1011,,,
1322,1012,,,
1323,1013,,,
1324,1014,,,
1325,1015,,,
1326,1015,,,
1327,1016,,,
1328,1017,,,
1329,1018,,,
1330,1018,,,
1331,1019,,,
1332,1020,,,
1333,1020,,,
1334,1021,,,
1335,1023,,,
1336,1022,,,
1337,1024,,,
1338,1024,,,
1339,1025,,,
1340,1026,,,
1341,1027,,,
1342,1028,,,
1343,1028,,,
1344,1029,,,
1345,1029,,,
1346,1031,,,
1347,1031,,,
1348,1032,,,
1349,1033,,,
1350,1033,,,
1351,1034,,,
1352,1035,,,
1353,1036,,,
1354,1037,,,
1355,1038,,,
1356,1038,,,
1357,1039,,,
1358,1040,,,
1359,1041,,,
1360,1042,,,
1361,1042,,,
1362,1043,,,
1363,1043,,,
1364,1045,,,
1365,1045,,,
1366,1046,,,
1367,1045,,,
1368,1047,,,
1369,1048,,,
1370,1049,,,
1371,1049,,,
1372,1051,,,
1373,1050,,,
1374,1052,,,
1375,1053,,,
1376,1054,,,
1377,1054,,,
1378,1055,,,
1379,1056,,,
1380,1056,,,
1381,1057,,,
